fre_len,eng_len,f_ind,e_ind,prob
12,7,1,2,6.620149250954516e-22
12,7,1,3,6.620149250954516e-22
12,7,1,4,6.620149250954516e-22
12,7,1,5,9.123950119943073e-26
12,7,1,6,2.2481421987179535e-22
12,7,1,7,2.2481421987179535e-22
12,7,2,1,0.1999999999972475
12,7,2,2,0.1999999999972475
12,7,2,3,0.1999999999972475
12,7,2,4,0.1999999999972475
12,7,2,5,7.064246098991079e-13
12,7,2,6,1.8933450451171073e-9
12,7,2,7,1.8933450451171073e-9
12,7,3,1,0.19999999999724788
12,7,3,2,0.19999999999724788
12,7,3,3,0.19999999999724788
12,7,3,4,0.19999999999724788
12,7,3,5,7.064246098991079e-13
12,7,3,6,1.8933450451171073e-9
12,7,3,7,1.8933450451171073e-9
12,7,4,1,1.331976421957385e-18
12,7,4,2,1.331976421957385e-18
12,7,4,3,1.331976421957385e-18
12,7,4,4,1.331976421957385e-18
12,7,4,5,0.9999963079671829
12,7,4,6,4.52327022813643e-19
12,7,4,7,4.52327022813643e-19
12,7,5,1,0.1999999999972475
12,7,5,2,0.1999999999972475
12,7,5,3,0.1999999999972475
12,7,5,4,0.1999999999972475
12,7,5,5,7.064246098991079e-13
12,7,5,6,1.8933450451171073e-9
12,7,5,7,1.8933450451171073e-9
12,7,6,1,0.19999999999724788
12,7,6,2,0.19999999999724788
12,7,6,3,0.19999999999724788
12,7,6,4,0.19999999999724788
12,7,6,5,7.064246098991079e-13
12,7,6,6,1.8933450451171073e-9
12,7,6,7,1.8933450451171073e-9
12,7,7,1,0.19999999999724788
12,7,7,2,0.19999999999724788
12,7,7,3,0.19999999999724788
12,7,7,4,0.19999999999724788
12,7,7,5,7.064246098991079e-13
12,7,7,6,1.8933450451171073e-9
12,7,7,7,1.8933450451171073e-9
12,7,8,1,1.3761394032189026e-11
12,7,8,2,1.3761394032189026e-11
12,7,8,3,1.3761394032189026e-11
12,7,8,4,1.3761394032189026e-11
12,7,8,5,3.691964806573282e-6
12,7,8,6,4.659425916044307e-12
12,7,8,7,4.659425916044307e-12
12,7,9,1,5.278988680473216e-17
12,7,9,2,5.278988680473216e-17
12,7,9,3,5.278988680473216e-17
12,7,9,4,5.278988680473216e-17
12,7,9,5,7.27555033418813e-21
12,7,9,6,0.49999999526430766
12,7,9,7,0.49999999526430766
12,7,10,1,1.53655603866367e-26
12,7,10,2,1.53655603866367e-26
12,7,10,3,1.53655603866367e-26
12,7,10,4,1.53655603866367e-26
12,7,10,5,6.355766665034515e-11
12,7,10,6,7.25145937278406e-18
12,7,10,7,7.25145937278406e-18
12,7,11,1,5.278988680473216e-17
12,7,11,2,5.278988680473216e-17
12,7,11,3,5.278988680473216e-17
12,7,11,4,5.278988680473216e-17
12,7,11,5,7.27555033418813e-21
12,7,11,6,0.49999999526430766
12,7,11,7,0.49999999526430766
12,7,12,1,6.925379894352896e-32
12,7,12,2,6.925379894352896e-32
12,7,12,3,6.925379894352896e-32
12,7,12,4,6.925379894352896e-32
12,7,12,5,9.205794188525552e-13
12,7,12,6,3.268290232670177e-23
12,7,12,7,3.268290232670177e-23
9,8,1,1,0.3538771124270281
9,8,1,2,1.5385982333997375e-10
9,8,1,3,1.538597896609413e-10
9,8,1,4,1.9096098115163565e-12
9,8,1,5,1.538597896609413e-10
9,8,1,6,1.4269155620833232e-14
9,8,1,7,7.633571218200592e-11
9,8,1,8,7.633571218200592e-11
9,8,2,1,8.663738531503964e-9
9,8,2,2,0.9822240169386759
9,8,2,3,0.982224021317865
9,8,2,4,9.336165646728501e-7
9,8,2,5,0.982224021317865
9,8,2,6,3.3847953206740673e-13
9,8,2,7,1.8107779040702239e-9
9,8,2,8,1.8107779040702239e-9
9,8,3,1,2.975354315092063e-15
9,8,3,2,0.00888799144310954
9,8,3,3,0.008887989253515052
9,8,3,4,0.4999995331897494
9,8,3,5,0.008887989253515052
9,8,3,6,5.06677479476658e-13
9,8,3,7,2.710604461226929e-9
9,8,3,8,2.710604461226929e-9
9,8,4,1,2.975354315092063e-15
9,8,4,2,0.00888799144310954
9,8,4,3,0.008887989253515052
9,8,4,4,0.4999995331897494
9,8,4,5,0.008887989253515052
9,8,4,6,5.06677479476658e-13
9,8,4,7,2.710604461226929e-9
9,8,4,8,2.710604461226929e-9
9,8,5,1,1.5745543262040732e-25
9,8,5,2,2.6987412251038283e-19
9,8,5,3,2.698740634367391e-19
9,8,5,4,3.3469971604587186e-21
9,8,5,5,2.698740634367391e-19
9,8,5,6,0.9999999979304641
9,8,5,7,1.4344222275991816e-19
9,8,5,8,1.4344222275991816e-19
9,8,6,1,6.182423465628139e-18
9,8,6,2,1.0622576187079363e-11
9,8,6,3,1.0622573861868164e-11
9,8,6,4,1.3174531248371232e-13
9,8,6,5,1.0622573861868164e-11
9,8,6,6,1.0528074096469772e-15
9,8,6,7,0.49999999634583464
9,8,6,8,0.49999999634583464
9,8,7,1,2.832555405759117e-7
9,8,7,2,3.084324177567394e-21
9,8,7,3,3.0843235024294444e-21
9,8,7,4,1.7638126095937615e-12
9,8,7,5,3.0843235024294444e-21
9,8,7,6,1.589935302086067e-9
9,8,7,7,8.092763913486167e-15
9,8,7,8,8.092763913486167e-15
9,8,8,1,6.182423465628139e-18
9,8,8,2,1.0622576187079363e-11
9,8,8,3,1.0622573861868164e-11
9,8,8,4,1.3174531248371232e-13
9,8,8,5,1.0622573861868164e-11
9,8,8,6,1.0528074096469772e-15
9,8,8,7,0.49999999634583464
9,8,8,8,0.49999999634583464
9,8,9,1,0.6461225956536867
9,8,9,2,6.839040609684181e-20
9,8,9,3,1.3901290570547433e-26
9,8,9,4,8.317604948963428e-22
9,8,9,5,1.3901290570547433e-26
9,8,9,6,4.782320420516367e-10
9,8,9,7,3.647472860006557e-20
9,8,9,8,3.647472860006557e-20
8,3,1,1,2.2491710803316367e-14
8,3,1,2,1.6864148226321923e-5
8,3,1,3,1.3500935654585763e-27
8,3,2,1,2.422592454385675e-10
8,3,2,2,5.230170681760222e-10
8,3,2,3,1.4541919558154915e-23
8,3,3,1,1.1870488442460934e-9
8,3,3,2,2.562737302441683e-9
8,3,3,3,7.125411803925069e-23
8,3,4,1,0.3333333213477696
8,3,4,2,0.33332768596980783
8,3,4,3,0.33333333333333337
8,3,5,1,3.452735760047239e-8
8,3,5,2,7.454161043153702e-8
8,3,5,3,2.0725493065941292e-21
8,3,6,1,0.3333333213477696
8,3,6,2,0.33332768596980783
8,3,6,3,0.33333333333333337
8,3,7,1,0.3333333213477696
8,3,7,2,0.33332768596980783
8,3,7,3,0.33333333333333337
8,3,8,1,3.1899002081567184e-15
8,3,8,2,3.1498544310183927e-10
8,3,8,3,2.0060801274153015e-37
